anchorUserID,username,type,orderTime,content,anchor,,,,,,,,,
93,a1***59,直播,2020.03.06,效果非常好呀！值得信赖的薇娅姐！,薇娅viya,,,,,,,,,
94,了*科,直播,2020.03.05,好,薇娅viya,,,,,,,,,
95,老实***费者,直播,2020.03.03,非常完美！,薇娅viya,,,,,,,,,
96,小*老,直播,2020.03.03,感谢薇娅姐和团队小伙伴，每次效果都超级棒！！！,薇娅viya,,,,,,,,,
97,童涵***专用,直播,2020.03.02,非常满意,薇娅viya,,,,,,,,,
98,童涵***专用,直播,2020.03.02,非常满意,薇娅viya,,,,,,,,,
99,ei***ye,直播,2020.02.27,薇娅很棒！继续合作！,薇娅viya,,,,,,,,,
100,艺恩***24,直播,2020.02.27,多啦薇娅，合作很多次，团队特别厉害！,薇娅viya,,,,,,,,,
101,想死***咯3,直播,2020.02.25,挺好,薇娅viya,,,,,,,,,
102,福*大,直播,2020.02.15,感谢薇娅和薇娅团队，情人节快乐,薇娅viya,,,,,,,,,
103,lo***lf,直播,2020.02.12,薇娅姐姐直播非常棒。,薇娅viya,,,,,,,,,
104,福*大,直播,2020.02.06,感谢薇娅和薇娅团队，心细，责任，靠谱，专业，实力，非常感谢，我也是薇娅的女人哦,薇娅viya,,,,,,,,,
105,白羊***日出,直播,2020.02.03,非常满意，带货女王,薇娅viya,,,,,,,,,
106,me***yu,直播,2020.01.17,非常好，几秒钟就抢了上万件,薇娅viya,,,,,,,,,
107,a1***59,直播,2020.01.16,效果很好，不愧是淘宝一主播！赞！,薇娅viya,,,,,,,,,
108,原*卢,直播,2020.01.16,效果非常好，期待下次合作！,薇娅viya,,,,,,,,,
109,像雨***诉说,直播,2020.01.15,不亏是大主播，仓库秒空,薇娅viya,,,,,,,,,
110,我们***乐o,直播,2020.01.13,好,薇娅viya,,,,,,,,,
111,鱼尾***幸福,直播,2020.01.13,薇娅重围让我们失望过，一直支持她,薇娅viya,,,,,,,,,
112,一只***西瓜,直播,2020.01.12,太好了~,薇娅viya,,,,,,,,,
113,瞌睡***27,直播,2020.01.10,直播效果很好期待下次合作!!,薇娅viya,,,,,,,,,
114,蛋蛋***逗逗,直播,2020.01.10,一次比一次更强大的带货女王！！,薇娅viya,,,,,,,,,
115,乐淘***食铺,直播,2020.01.09,老合作伙伴了，一直信赖薇娅女王的带货能力；,薇娅viya,,,,,,,,,
116,依依***88,直播,2020.01.09,好,薇娅viya,,,,,,,,,
117,依依***88,直播,2020.01.09,好,薇娅viya,,,,,,,,,
118,lo***lf,直播,2020.01.08,很好。,薇娅viya,,,,,,,,,
119,lo***lf,直播,2020.01.08,很好。,薇娅viya,,,,,,,,,
120,搜狗***业店,直播,2020.01.07,效果很棒,薇娅viya,,,,,,,,,
121,jd****mr,直播,2020.01.07,满分，超级职业，超级优秀,薇娅viya,,,,,,,,,
122,鱼尾***幸福,直播,2020.01.07,薇娅从未让我们失望过，一直坚信薇娅，一直力挺薇娅哦,薇娅viya,,,,,,,,,
123,sh***fb,直播,2020.01.06,好评！,薇娅viya,,,,,,,,,
124,d王***骑士,直播,2020.01.06,效果真的不能再好了，期待下一次合作，感谢谦寻团队，感谢薇娅团队,薇娅viya,,,,,,,,,
125,17***9z,直播,2020.01.04,hao,薇娅viya,,,,,,,,,
126,jd****mr,直播,2019.12.31,很棒,薇娅viya,,,,,,,,,
127,老实***费者,直播,2019.12.31,主播给力团队优秀，完美,薇娅viya,,,,,,,,,
128,一只***西瓜,直播,2019.12.27,太优秀了！感谢薇娅姐及其专业的团队！,薇娅viya,,,,,,,,,
129,愚人***旅途,直播,2019.12.26,希望以后可以多合作,薇娅viya,,,,,,,,,
130,tb***01,直播,2019.12.25,赞,薇娅viya,,,,,,,,,
131,陈娇***12,直播,2019.12.24,非常感谢薇娅及团队所有工作人员的认真准备和辛苦付出，效果超出预期，非常棒！,薇娅viya,,,,,,,,,
132,a1***59,直播,2019.12.23,效果很好，点赞,薇娅viya,,,,,,,,,
133,北鼎***任务,直播,2019.12.17,非常好，期待再次合作,薇娅viya,,,,,,,,,
134,蛋蛋***逗逗,直播,2019.12.13,不愧是带货女王,薇娅viya,,,,,,,,,
135,yf***72,直播,2019.12.12,很优秀,薇娅viya,,,,,,,,,
136,愚人***旅途,直播,2019.12.11,好,薇娅viya,,,,,,,,,
137,茶*茶,直播,2019.12.11,薇娅姐薇娅团队特别特别棒！！,薇娅viya,,,,,,,,,
138,ti***88,直播,2019.12.11,效果挺好的,薇娅viya,,,,,,,,,
139,jd****mr,直播,2019.12.10,好评,薇娅viya,,,,,,,,,
140,佳佳***11,直播,2019.12.10,一姐就是一姐，薇娅很给力咯，影子小哥哥对接也很负责任，就是犯了点小失误，下次合作就知道了，期待下次合作了,薇娅viya,,,,,,,,,
141,食尚***小铺,直播,2019.12.09,非常棒非常感谢,薇娅viya,,,,,,,,,
142,jd****mr,直播,2019.12.06,薇娅姐非常给力，大卖大卖,薇娅viya,,,,,,,,,
143,jd****mr,直播,2019.12.06,薇娅姐非常给力，大卖大卖,薇娅viya,,,,,,,,,
144,jd****mr,直播,2019.12.06,薇娅姐非常给力，大卖大卖,薇娅viya,,,,,,,,,
145,jd****mr,直播,2019.12.06,薇娅姐非常给力，大卖大卖,薇娅viya,,,,,,,,,
146,jd****mr,直播,2019.12.05,不愧为带货女王，厉害,薇娅viya,,,,,,,,,
147,杭乐***16,直播,2019.12.04,此次黑色星期五，了不起的保税仓直播项目，圆满成功。薇娅姐辛苦了，期待下次的合作,薇娅viya,,,,,,,,,
148,最喜***任务,直播,2019.12.03,薇娅姐厉害赞赞赞,薇娅viya,,,,,,,,,
149,tb***11,直播,2019.12.03,非常满意,薇娅viya,,,,,,,,,
150,福*大,直播,2019.12.02,感谢感恩薇娅及团队及薇娅的女人，薇娅辛苦了,薇娅viya,,,,,,,,,
151,tt***小芬,直播,2019.11.25,很好的,薇娅viya,,,,,,,,,
152,a1***59,直播,2019.11.09,嘻嘻合作非常愉快！,薇娅viya,,,,,,,,,
153,a1***59,直播,2019.11.09,谢谢薇娅姐效果非常好哦,薇娅viya,,,,,,,,,
154,a1***59,直播,2019.11.09,效果非常好哦！,薇娅viya,,,,,,,,,
155,买手***公司,直播,2019.10.25,超级棒的主播,薇娅viya,,,,,,,,,
156,a1***59,直播,2019.10.25,赞赞赞~效果非常好，全网一！！！,薇娅viya,,,,,,,,,
157,江畅***94,直播,2019.10.17,薇娅姐奥爱你,薇娅viya,,,,,,,,,
158,xu***11,直播,2019.10.16,薇娅姐太牛了感谢薇娅姐感谢谦寻,薇娅viya,,,,,,,,,
159,白羊***日出,直播,2019.10.16,带货女王,薇娅viya,,,,,,,,,
160,香蒲***业部,直播,2019.10.14,很开心能被选上~薇娅姐非常棒，团队的小姐姐们也非常专业耐心，希望一直长期合作~,薇娅viya,,,,,,,,,
161,安小***95,直播,2019.10.10,薇娅将不可能变为可能！,薇娅viya,,,,,,,,,
162,zh***54,直播,2019.09.27,已经超出预期值，期待下次合作,薇娅viya,,,,,,,,,
163,yi***wu,直播,2019.09.25,超级棒，整场直播介绍的十分详细，薇娅姐最棒,薇娅viya,,,,,,,,,
164,艺恩***24,直播,2019.09.24,每次都有新惊喜！支持,薇娅viya,,,,,,,,,
165,维尼***oo,直播,2019.09.23,超级棒！！期待下次合作！！,薇娅viya,,,,,,,,,
166,儿时***未央,直播,2019.09.23,薇娅姐太给力了！！希望以后可以多多合作,薇娅viya,,,,,,,,,
